Issue #,Title,Sprint / Milestone,Area,Priority,Epic,Status,GitHub URL
#43,"Sound system — SoundManager with Web Audio API unlock for iOS/Telegram","Sprint 1: Foundation & Core Infrastructure","frontend",Low,-,OPEN,https://github.com/dongprotocol/bandit-buddy/issues/43
#7,"Farm CRUD API — plant, harvest, dig, water, bug-spray, weed-kill","Sprint 2: Core Game APIs & Economy Layer","backend",High,-,OPEN,https://github.com/dongprotocol/bandit-buddy/issues/7
#8,"STEAL endpoint — PostgreSQL transaction, guard dog defense, RNG outcome","Sprint 2: Core Game APIs & Economy Layer","backend",High,-,OPEN,https://github.com/dongprotocol/bandit-buddy/issues/8
#9,"ECDSA claim signature — GOLD to $FARM on-chain redemption","Sprint 2: Core Game APIs & Economy Layer","backend, smart-contract",High,Economy,OPEN,https://github.com/dongprotocol/bandit-buddy/issues/9
#10,"GOLD↔$FARM dynamic exchange rate engine","Sprint 2: Core Game APIs & Economy Layer","backend",High,Economy,OPEN,https://github.com/dongprotocol/bandit-buddy/issues/10
#11,"P2P Marketplace backend — listing creation, EIP-712 off-chain orders","Sprint 2: Core Game APIs & Economy Layer","backend",High,Marketplace,OPEN,https://github.com/dongprotocol/bandit-buddy/issues/11
#31,"Shop modal — seed shop, fertilizer, items, and consumables","Sprint 2: Core Game APIs & Economy Layer","backend, frontend",High,-,OPEN,https://github.com/dongprotocol/bandit-buddy/issues/31
#41,"Anti-cheat and bot detection — trust score system and fraud signals","Sprint 2: Core Game APIs & Economy Layer","backend",High,Security,OPEN,https://github.com/dongprotocol/bandit-buddy/issues/41
#50,"Claim $FARM modal — wallet validation, amount input, signature display","Sprint 2: Core Game APIs & Economy Layer","frontend",High,Economy,OPEN,https://github.com/dongprotocol/bandit-buddy/issues/50
#12,"PancakeSwap V2 DEX swap UI — BNB/FARM/USDT routing","Sprint 2: Core Game APIs & Economy Layer","frontend, smart-contract",Medium,Marketplace,OPEN,https://github.com/dongprotocol/bandit-buddy/issues/12
#13,"Daily quest system — quest generation, tracking, and reward claim","Sprint 2: Core Game APIs & Economy Layer","backend, frontend",Medium,-,OPEN,https://github.com/dongprotocol/bandit-buddy/issues/13
#14,"Notification system — in-app inbox and push via Telegram Bot API","Sprint 2: Core Game APIs & Economy Layer","backend, frontend",Medium,-,OPEN,https://github.com/dongprotocol/bandit-buddy/issues/14
#29,"Viral referral system — invite link tracking and reward distribution","Sprint 2: Core Game APIs & Economy Layer","backend, frontend",Medium,-,OPEN,https://github.com/dongprotocol/bandit-buddy/issues/29
#30,"Leaderboard system — weekly and all-time rankings by gold and trust score","Sprint 2: Core Game APIs & Economy Layer","backend, frontend",Medium,-,OPEN,https://github.com/dongprotocol/bandit-buddy/issues/30
#36,"Weed and bug infestation mechanics — spread risk and penalty system","Sprint 2: Core Game APIs & Economy Layer","backend, frontend",Medium,Core-game,OPEN,https://github.com/dongprotocol/bandit-buddy/issues/36
#37,"Daily reward streak system — login bonuses and milestone rewards","Sprint 2: Core Game APIs & Economy Layer","backend, frontend",Medium,-,OPEN,https://github.com/dongprotocol/bandit-buddy/issues/37
#38,"Explore / Raid Map — discover raidable farms with live crop data","Sprint 2: Core Game APIs & Economy Layer","backend, frontend",Medium,-,OPEN,https://github.com/dongprotocol/bandit-buddy/issues/38
#42,"Harvest All and Plant All batch action buttons","Sprint 2: Core Game APIs & Economy Layer","backend, frontend",Medium,-,OPEN,https://github.com/dongprotocol/bandit-buddy/issues/42
#48,"Attack mechanic — targeted farm sabotage with scarecrow defense item","Sprint 2: Core Game APIs & Economy Layer","backend, frontend",Medium,Core-game,OPEN,https://github.com/dongprotocol/bandit-buddy/issues/48
#55,"Fertilizer (crop boost) UI — select and apply to growing crops","Sprint 2: Core Game APIs & Economy Layer","backend, frontend",Medium,-,OPEN,https://github.com/dongprotocol/bandit-buddy/issues/55
#34,"Achievement system — unlock badges and bonus rewards for milestones","Sprint 2: Core Game APIs & Economy Layer","backend, frontend",Low,-,OPEN,https://github.com/dongprotocol/bandit-buddy/issues/34
#46,"Settings modal — sound, notifications, wallet info, account management","Sprint 2: Core Game APIs & Economy Layer","backend, frontend",Low,-,OPEN,https://github.com/dongprotocol/bandit-buddy/issues/46
#15,"[SC] BanditMarket.sol — P2P NFT Marketplace with EIP-712 order book","Sprint 3: Smart Contracts & Blockchain Layer","smart-contract",High,Marketplace,OPEN,https://github.com/dongprotocol/bandit-buddy/issues/15
#16,"[SC] BanditDogFusion.sol — Guard Dog Gacha with Commit-Reveal Oracle RNG","Sprint 3: Smart Contracts & Blockchain Layer","smart-contract",High,Gacha,OPEN,https://github.com/dongprotocol/bandit-buddy/issues/16
#17,"[SC] TreasuryBuyBack.sol — auto buy-back and burn mechanism","Sprint 3: Smart Contracts & Blockchain Layer","smart-contract",High,Treasury,OPEN,https://github.com/dongprotocol/bandit-buddy/issues/17
#18,"Blockchain event indexer — startMarketplaceListener with fallback cronjob","Sprint 3: Smart Contracts & Blockchain Layer","backend, infra",High,Blockchain-infra,OPEN,https://github.com/dongprotocol/bandit-buddy/issues/18
#19,"Guard Dog Gacha UI — pull animation, tier reveal, pity tracker","Sprint 3: Smart Contracts & Blockchain Layer","frontend",High,Gacha,OPEN,https://github.com/dongprotocol/bandit-buddy/issues/19
#22,"Dedicated RPC provider setup with Ethers.js v6 fallback chain","Sprint 3: Smart Contracts & Blockchain Layer","infra",High,Blockchain-infra,OPEN,https://github.com/dongprotocol/bandit-buddy/issues/22
#52,"FarmToken.sol — ERC-20 with mint, burn, and claim gating","Sprint 3: Smart Contracts & Blockchain Layer","smart-contract",High,Economy,OPEN,https://github.com/dongprotocol/bandit-buddy/issues/52
#53,"Hardhat project setup — compile, test, deploy scripts for all contracts","Sprint 3: Smart Contracts & Blockchain Layer","smart-contract, infra",High,-,OPEN,https://github.com/dongprotocol/bandit-buddy/issues/53
#20,"Marketplace UI — listing browser, buy flow, and my listings management","Sprint 3: Smart Contracts & Blockchain Layer","frontend",Medium,Marketplace,OPEN,https://github.com/dongprotocol/bandit-buddy/issues/20
#21,"Guild system — create/join guilds, World Tree, and contribution tracking","Sprint 3: Smart Contracts & Blockchain Layer","backend, frontend",Medium,Guild,OPEN,https://github.com/dongprotocol/bandit-buddy/issues/21
#23,"Smart contract security audit — BanditMarket, BanditDogFusion, TreasuryBuyBack","Sprint 4: QA, Polish & MVP Launch","smart-contract",High,Security,OPEN,https://github.com/dongprotocol/bandit-buddy/issues/23
#24,"BSC Mainnet deployment — FarmToken, BanditMarket, BanditDogFusion, TreasuryBuyBack","Sprint 4: QA, Polish & MVP Launch","smart-contract, infra",High,Security,OPEN,https://github.com/dongprotocol/bandit-buddy/issues/24
#25,"End-to-end integration test suite — full game flow on BSC Testnet","Sprint 4: QA, Polish & MVP Launch","backend, smart-contract, infra",High,-,OPEN,https://github.com/dongprotocol/bandit-buddy/issues/25
#26,"Performance optimization — Phaser bundle, React lazy loading, API response times","Sprint 4: QA, Polish & MVP Launch","backend, frontend, infra",High,-,OPEN,https://github.com/dongprotocol/bandit-buddy/issues/26
#49,"Nginx + SSL production deployment — frontend CDN, backend reverse proxy","Sprint 4: QA, Polish & MVP Launch","infra",High,-,OPEN,https://github.com/dongprotocol/bandit-buddy/issues/49
#27,"NFT Guard Dog feeding subscription system","Sprint 4: QA, Polish & MVP Launch","backend, frontend",Medium,Core-game,OPEN,https://github.com/dongprotocol/bandit-buddy/issues/27
#39,"Telegram Mini App polish — safe area, viewport, haptic feedback, back button","Sprint 4: QA, Polish & MVP Launch","frontend",Medium,-,OPEN,https://github.com/dongprotocol/bandit-buddy/issues/39
#28,"Seasonal events system — Halloween, Christmas, Lunar New Year crops","Sprint 4: QA, Polish & MVP Launch","backend, frontend",Low,Core-game,OPEN,https://github.com/dongprotocol/bandit-buddy/issues/28
#51,"World Tree GvG — weekly guild war event with resource capture","Sprint 4: QA, Polish & MVP Launch","backend, frontend",Low,Guild,OPEN,https://github.com/dongprotocol/bandit-buddy/issues/51
#54,"Admin dashboard — farm stats, user management, economy monitoring","Sprint 4: QA, Polish & MVP Launch","backend, frontend, infra",Low,-,OPEN,https://github.com/dongprotocol/bandit-buddy/issues/54
