Issue #,Title,Sprint / Milestone,Area,Priority,Epic,Audit Status,GitHub URL
#14,"Sound system — SoundManager with Web Audio API unlock for iOS/Telegram","Sprint 1: Foundation & Core Infrastructure","frontend",Low,-,Original,https://github.com/flappybirdweb3/bandit-buddy/issues/14
#15,"Farm CRUD API — plant, harvest, dig, water, bug-spray, weed-kill","Sprint 2: Core Game APIs & Economy Layer","backend",High,-,Original,https://github.com/flappybirdweb3/bandit-buddy/issues/15
#16,"STEAL endpoint — PostgreSQL transaction, guard dog defense, RNG outcome","Sprint 2: Core Game APIs & Economy Layer","backend",High,-,Original,https://github.com/flappybirdweb3/bandit-buddy/issues/16
#17,"ECDSA claim signature — GOLD to $FARM on-chain redemption","Sprint 2: Core Game APIs & Economy Layer","backend, smart-contract",High,economy,Original,https://github.com/flappybirdweb3/bandit-buddy/issues/17
#18,"GOLD↔$FARM dynamic exchange rate engine","Sprint 2: Core Game APIs & Economy Layer","backend",High,economy,Original,https://github.com/flappybirdweb3/bandit-buddy/issues/18
#19,"P2P Marketplace backend — listing creation, EIP-712 off-chain orders","Sprint 2: Core Game APIs & Economy Layer","backend",High,marketplace,Original,https://github.com/flappybirdweb3/bandit-buddy/issues/19
#20,"Shop modal — seed shop, fertilizer, items, and consumables","Sprint 2: Core Game APIs & Economy Layer","backend, frontend",High,-,Original,https://github.com/flappybirdweb3/bandit-buddy/issues/20
#21,"Anti-cheat and bot detection — trust score system and fraud signals","Sprint 2: Core Game APIs & Economy Layer","backend",High,security,Original,https://github.com/flappybirdweb3/bandit-buddy/issues/21
#22,"Claim $FARM modal — wallet validation, amount input, signature display","Sprint 2: Core Game APIs & Economy Layer","frontend",High,economy,Original,https://github.com/flappybirdweb3/bandit-buddy/issues/22
#23,"PancakeSwap V2 DEX swap UI — BNB/FARM/USDT routing","Sprint 2: Core Game APIs & Economy Layer","frontend, smart-contract",Medium,marketplace,Original,https://github.com/flappybirdweb3/bandit-buddy/issues/23
#24,"Daily quest system — quest generation, tracking, and reward claim","Sprint 2: Core Game APIs & Economy Layer","backend, frontend",Medium,-,Original,https://github.com/flappybirdweb3/bandit-buddy/issues/24
#25,"Notification system — in-app inbox and push via Telegram Bot API","Sprint 2: Core Game APIs & Economy Layer","backend, frontend",Medium,-,Original,https://github.com/flappybirdweb3/bandit-buddy/issues/25
#26,"Viral referral system — invite link, Magnifying Glass, Master Key mechanic","Sprint 2: Core Game APIs & Economy Layer","backend, frontend",Medium,-,Original,https://github.com/flappybirdweb3/bandit-buddy/issues/26
#27,"Leaderboard system — weekly and all-time rankings","Sprint 2: Core Game APIs & Economy Layer","backend, frontend",Medium,-,Original,https://github.com/flappybirdweb3/bandit-buddy/issues/27
#28,"Weed and bug infestation mechanics — spread risk and penalty system","Sprint 2: Core Game APIs & Economy Layer","backend, frontend",Medium,core-game,Original,https://github.com/flappybirdweb3/bandit-buddy/issues/28
#29,"Daily reward streak system — login bonuses and milestone rewards","Sprint 2: Core Game APIs & Economy Layer","backend, frontend",Medium,-,Original,https://github.com/flappybirdweb3/bandit-buddy/issues/29
#30,"Explore / Raid Map — discover raidable farms with live crop data","Sprint 2: Core Game APIs & Economy Layer","backend, frontend",Medium,-,Original,https://github.com/flappybirdweb3/bandit-buddy/issues/30
#31,"Harvest All and Plant All batch action buttons","Sprint 2: Core Game APIs & Economy Layer","backend, frontend",Medium,-,Original,https://github.com/flappybirdweb3/bandit-buddy/issues/31
#32,"Attack mechanic — targeted farm sabotage with scarecrow defense","Sprint 2: Core Game APIs & Economy Layer","backend, frontend",Medium,core-game,Original,https://github.com/flappybirdweb3/bandit-buddy/issues/32
#33,"Fertilizer (crop boost) UI — select and apply to growing crops","Sprint 2: Core Game APIs & Economy Layer","backend, frontend",Medium,-,Original,https://github.com/flappybirdweb3/bandit-buddy/issues/33
#34,"Achievement system — unlock badges and bonus rewards for milestones","Sprint 2: Core Game APIs & Economy Layer","backend, frontend",Low,-,Original,https://github.com/flappybirdweb3/bandit-buddy/issues/34
#35,"Settings modal — sound, notifications, wallet info, account management","Sprint 2: Core Game APIs & Economy Layer","backend, frontend",Low,-,Original,https://github.com/flappybirdweb3/bandit-buddy/issues/35
#36,"Farm Maintenance System — durability decay, repair cost, steal penalty","Sprint 2: Core Game APIs & Economy Layer","backend, frontend",High,core-game,AUDIT FIX v1,https://github.com/flappybirdweb3/bandit-buddy/issues/36
#37,"Soil Fertility Decay — -20% per harvest, fertilizer recovery mechanic","Sprint 2: Core Game APIs & Economy Layer","backend, frontend",High,core-game,AUDIT FIX v1,https://github.com/flappybirdweb3/bandit-buddy/issues/37
#38,"Revenge & Viral Mechanic — anonymous theft, Magnifying Glass, Master Key","Sprint 2: Core Game APIs & Economy Layer","backend, frontend",High,core-game,AUDIT FIX v1,https://github.com/flappybirdweb3/bandit-buddy/issues/38
#39,"[SC] BanditMarket.sol — P2P NFT Marketplace with EIP-712 order book","Sprint 3: Smart Contracts & Blockchain Layer","smart-contract",High,marketplace,Original,https://github.com/flappybirdweb3/bandit-buddy/issues/39
#40,"[SC] BanditDogFusion.sol — Guard Dog Gacha with Commit-Reveal Oracle RNG","Sprint 3: Smart Contracts & Blockchain Layer","smart-contract",High,gacha,Original,https://github.com/flappybirdweb3/bandit-buddy/issues/40
#41,"[SC] TreasuryBuyBack.sol — auto buy-back and burn mechanism","Sprint 3: Smart Contracts & Blockchain Layer","smart-contract",High,treasury,Original,https://github.com/flappybirdweb3/bandit-buddy/issues/41
#42,"Blockchain event indexer — startMarketplaceListener with fallback cronjob","Sprint 3: Smart Contracts & Blockchain Layer","backend, infra",High,blockchain-infra,Original,https://github.com/flappybirdweb3/bandit-buddy/issues/42
#43,"Guard Dog Gacha UI — pull animation, tier reveal, pity tracker","Sprint 3: Smart Contracts & Blockchain Layer","frontend",High,gacha,Original,https://github.com/flappybirdweb3/bandit-buddy/issues/43
#44,"Dedicated RPC provider setup with Ethers.js v6 fallback chain","Sprint 3: Smart Contracts & Blockchain Layer","infra",High,blockchain-infra,Original,https://github.com/flappybirdweb3/bandit-buddy/issues/44
#45,"FarmToken.sol — ERC-20 with mint, burn, and claim gating","Sprint 3: Smart Contracts & Blockchain Layer","smart-contract",High,economy,Original,https://github.com/flappybirdweb3/bandit-buddy/issues/45
#46,"Hardhat project setup — compile, test, deploy scripts for all contracts","Sprint 3: Smart Contracts & Blockchain Layer","smart-contract, infra",High,-,AUDIT FIX v2 update,https://github.com/flappybirdweb3/bandit-buddy/issues/46
#47,"Marketplace UI — listing browser, buy flow, and my listings management","Sprint 3: Smart Contracts & Blockchain Layer","frontend",Medium,marketplace,Original,https://github.com/flappybirdweb3/bandit-buddy/issues/47
#48,"Guild system — create/join, Bang Tinh Anh tier, World Tree, harvest tax","Sprint 3: Smart Contracts & Blockchain Layer","backend, frontend",Medium,guild,AUDIT FIX v1,https://github.com/flappybirdweb3/bandit-buddy/issues/48
#49,"Premium Subscriptions — Butler auto-harvest and Crop Insurance","Sprint 3: Smart Contracts & Blockchain Layer","backend, frontend",High,economy,AUDIT FIX v1 + v2 update,https://github.com/flappybirdweb3/bandit-buddy/issues/49
#50,"Smart contract security audit — BanditMarket, BanditDogFusion, TreasuryBuyBack","Sprint 4: QA, Polish & MVP Launch","smart-contract",High,security,AUDIT FIX v2 update,https://github.com/flappybirdweb3/bandit-buddy/issues/50
#51,"BSC Mainnet deployment — FarmToken, BanditMarket, BanditDogFusion, TreasuryBuyBack","Sprint 4: QA, Polish & MVP Launch","smart-contract, infra",High,security,AUDIT FIX v2 update,https://github.com/flappybirdweb3/bandit-buddy/issues/51
#52,"End-to-end integration test suite — full game flow on BSC Testnet","Sprint 4: QA, Polish & MVP Launch","backend, smart-contract, infra",High,-,Original,https://github.com/flappybirdweb3/bandit-buddy/issues/52
#53,"Performance optimization — Phaser bundle, React lazy loading, API response times","Sprint 4: QA, Polish & MVP Launch","backend, frontend, infra",High,-,Original,https://github.com/flappybirdweb3/bandit-buddy/issues/53
#54,"Nginx + SSL production deployment — frontend CDN, backend reverse proxy","Sprint 4: QA, Polish & MVP Launch","infra",High,-,Original,https://github.com/flappybirdweb3/bandit-buddy/issues/54
#55,"NFT Guard Dog feeding subscription system","Sprint 4: QA, Polish & MVP Launch","backend, frontend",Medium,core-game,Original,https://github.com/flappybirdweb3/bandit-buddy/issues/55
#56,"Telegram Mini App polish — safe area, viewport, haptic feedback, back button","Sprint 4: QA, Polish & MVP Launch","frontend",Medium,-,Original,https://github.com/flappybirdweb3/bandit-buddy/issues/56
#57,"Seasonal events system — Halloween, Christmas, Lunar New Year crops","Sprint 4: QA, Polish & MVP Launch","backend, frontend",Low,core-game,Original,https://github.com/flappybirdweb3/bandit-buddy/issues/57
#58,"World Tree GvG — weekly guild war event with resource capture","Sprint 4: QA, Polish & MVP Launch","backend, frontend",Low,guild,Original,https://github.com/flappybirdweb3/bandit-buddy/issues/58
#59,"Admin dashboard — farm stats, user management, economy monitoring","Sprint 4: QA, Polish & MVP Launch","backend, frontend, infra",Low,-,Original,https://github.com/flappybirdweb3/bandit-buddy/issues/59
